model,n,mean_accuracy,sample_sd,t95_low,t95_high
rkd_conventional_logits,5,71.66908563134977,1.4430822376465,69.87726237041679,73.46090889228276
sprkd_lowest_loss_random_init,5,86.09869375907111,20.29937183340337,60.89369456738261,111.30369295075961
